client_id,group,journeys,completed_journeys,completed,furthest_step,step_backs,repeated_steps,completion_time_s,effective_time_s,error_rate_a,error_rate_b,step_backs_per_journey,abandoned,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,age_band
6568950,Control,1,0,False,1,0,1,,,1.0,0.0,0.0,True,26.0,321.0,56.0,F,2.0,44610.72,6.0,9.0,50-65
6569137,Control,1,0,False,1,0,1,,,1.0,0.0,0.0,True,7.0,88.0,72.0,U,2.0,44527.53999999999,4.0,7.0,65+
6569187,Control,1,1,True,4,1,0,343.0,318.0,0.0,1.0,1.0,False,15.0,182.0,52.5,M,2.0,201688.96,0.0,4.0,50-65
6569413,Control,1,0,False,0,0,0,,,0.0,0.0,0.0,True,5.0,61.0,37.0,U,2.0,105829.09,1.0,4.0,35-50
6571032,Control,1,0,False,3,0,0,,,0.0,0.0,0.0,True,15.0,181.0,55.0,M,2.0,34438.38,6.0,9.0,50-65
6571183,Control,1,1,True,4,0,0,330.0,330.0,0.0,0.0,0.0,False,11.0,137.0,56.0,M,2.0,248725.62,6.0,9.0,50-65
6571200,Control,2,0,False,2,0,0,,,0.0,0.0,0.0,True,7.0,84.0,30.5,U,4.0,82638.31,5.0,8.0,<35
6571308,Control,1,1,True,4,0,1,1265.0,967.0,1.0,0.0,0.0,False,5.0,64.0,53.5,U,2.0,26281.93,0.0,3.0,50-65
6571403,Control,1,1,True,4,0,0,323.0,323.0,0.0,0.0,0.0,False,17.0,207.0,82.0,M,2.0,346694.53,6.0,9.0,65+
6571419,Test,2,1,True,4,0,0,337.0,337.0,0.0,0.0,0.0,False,14.0,176.0,53.5,F,2.0,138452.43,5.0,8.0,50-65
6571458,Test,1,1,True,4,0,0,220.0,220.0,0.0,0.0,0.0,False,6.0,75.0,53.0,U,4.0,102268.51,4.0,7.0,50-65
6571686,Control,1,0,False,1,1,0,,,0.0,1.0,1.0,True,17.0,211.0,45.0,M,3.0,59563.74,6.0,9.0,35-50
6571707,Control,1,1,True,4,0,0,534.0,534.0,0.0,0.0,0.0,False,14.0,179.0,81.5,M,3.0,131700.34,4.0,7.0,65+
6571762,Test,2,0,False,1,0,1,,,0.5,0.0,0.0,True,17.0,205.0,71.0,M,2.0,58645.14,0.0,3.0,65+
6572026,Test,1,0,False,1,0,0,,,0.0,0.0,0.0,True,6.0,75.0,27.5,U,2.0,48592.89,6.0,9.0,<35
6572513,Control,2,1,True,4,0,0,109.0,109.0,0.0,0.0,0.0,False,9.0,118.0,56.5,F,2.0,38329.63,6.0,9.0,50-65
6573015,Control,6,1,True,4,0,6,926.0,308.0,1.0,0.0,0.0,False,22.0,272.0,77.0,M,2.0,299481.93,6.0,9.0,65+
6573166,Control,1,0,False,2,0,0,,,0.0,0.0,0.0,True,14.0,175.0,36.0,F,2.0,26976.81,0.0,3.0,35-50
6573176,Test,1,1,True,4,0,0,495.0,495.0,0.0,0.0,0.0,False,12.0,155.0,47.5,M,2.0,35545.25,5.0,8.0,35-50
6573204,Test,1,0,False,1,1,0,,,0.0,1.0,1.0,True,4.0,58.0,74.0,U,2.0,46413.13,4.0,7.0,65+
